,id2,geography,totpop2010,totonerace2010,totwhiteonerace2010,pcwhiteonerace2010,PoliticalAffiliation,AvgYearsEduc
370,26163560400,"Census Tract 5604, Wayne County, Michigan",6153,6075,5641,91.69999695,Rep,15
371,26163561200,"Census Tract 5612, Wayne County, Michigan",5641,5516,3914,69.40000153,Rep,15
372,26163561300,"Census Tract 5613, Wayne County, Michigan",7888,7758,6694,84.90000153,Rep,15
373,26163561600,"Census Tract 5616, Wayne County, Michigan",3832,3796,3652,95.30000305,Rep,15
374,26163561700,"Census Tract 5617, Wayne County, Michigan",2137,2076,1905,89.09999847,Rep,15
375,26163561900,"Census Tract 5619, Wayne County, Michigan",7111,6999,6283,88.40000153,Rep,15
376,26163562300,"Census Tract 5623, Wayne County, Michigan",2069,2040,1893,91.5,Rep,15
377,26163562400,"Census Tract 5624, Wayne County, Michigan",5457,5405,5153,94.40000153,Rep,15
378,26163562500,"Census Tract 5625, Wayne County, Michigan",1951,1934,1757,90.09999847,Rep,15
379,26163562600,"Census Tract 5626, Wayne County, Michigan",3685,3636,3525,95.69999695,Rep,15
380,26163562700,"Census Tract 5627, Wayne County, Michigan",3496,3432,3316,94.90000153,Rep,15
381,26163562800,"Census Tract 5628, Wayne County, Michigan",3475,3432,3280,94.40000153,Rep,15
382,26163562900,"Census Tract 5629, Wayne County, Michigan",3443,3373,3190,92.69999695,Rep,15
383,26163563200,"Census Tract 5632, Wayne County, Michigan",3294,3213,2041,62,Rep,15
384,26163563300,"Census Tract 5633, Wayne County, Michigan",2868,2792,2154,75.09999847,Rep,15
385,26163563400,"Census Tract 5634, Wayne County, Michigan",5092,4990,4433,87.09999847,Rep,15
386,26163563500,"Census Tract 5635, Wayne County, Michigan",6229,6100,5218,83.80000305,Rep,15
387,26163563600,"Census Tract 5636, Wayne County, Michigan",2116,2074,1734,81.90000153,Rep,15
388,26163563700,"Census Tract 5637, Wayne County, Michigan",1671,1635,1257,75.19999695,Rep,15
389,26163563800,"Census Tract 5638, Wayne County, Michigan",2991,2902,2494,83.40000153,Rep,15
390,26163563900,"Census Tract 5639, Wayne County, Michigan",2435,2399,1808,74.30000305,Rep,15
391,26163564000,"Census Tract 5640, Wayne County, Michigan",2045,1997,1300,63.59999847,Rep,15
392,26163564100,"Census Tract 5641, Wayne County, Michigan",4337,4206,2778,64.09999847,Rep,15
393,26163564200,"Census Tract 5642, Wayne County, Michigan",3817,3692,3003,78.69999695,Rep,15
394,26163564300,"Census Tract 5643, Wayne County, Michigan",2644,2581,2028,76.69999695,Rep,15
395,26163564401,"Census Tract 5644.01, Wayne County, Michigan",5224,5136,4058,77.69999695,Rep,15
396,26163564402,"Census Tract 5644.02, Wayne County, Michigan",4385,4276,2652,60.5,Rep,15
397,26163564501,"Census Tract 5645.01, Wayne County, Michigan",4246,4153,3178,74.80000305,Rep,15
398,26163564502,"Census Tract 5645.02, Wayne County, Michigan",3711,3622,2409,64.90000153,Rep,15
